id,device_id,manufacturer,event_type,longitude,latitude,iot_signal_1,iot_signal_3,iot_signal_4,cell_tower_failure
0,0x1000000000005,TelecomWorld,system malfunction,-83.61318,51.656384,3,51,104,1
1,0x100000000001d,TelecomWorld,battery 10%,-83.04828,51.610226,9,52,103,0
2,0x1000000000008,TelecomWorld,battery 10%,-83.60245,51.892113,6,54,103,0
3,0x100000000001b,NewComm,battery 10%,-82.80548,51.913082,2,53,105,0
4,0x1000000000014,TelecomWorld,battery 10%,-83.44709,51.972874,10,55,102,1
5,0x100000000001c,MyCellular,device error,-83.46079,51.81613,3,50,105,0
6,0x1000000000005,TelecomWorld,system malfunction,-83.59761,51.855946,2,50,102,1
7,0x100000000000b,TelecomWorld,device error,-83.62492,51.891964,5,54,102,0
8,0x1000000000024,NewComm,battery 10%,-83.60336,51.912792,6,53,107,0
9,0x1000000000009,NewComm,battery 10%,-83.19714,51.71434,7,53,104,0
10,0x1000000000025,MyCellular,device error,-83.285675,51.96362,5,55,106,0
11,0x1000000000001,MyCellular,battery 10%,-83.31925,51.597042,3,51,103,0
12,0x1000000000020,TelecomWorld,system malfunction,-83.36766,51.873108,8,53,106,0
13,0x1000000000017,TelecomWorld,battery 5%,-83.04949,51.906513,4,52,105,0
14,0x1000000000022,MyCellular,battery 10%,-83.6138,51.602722,9,54,104,0
15,0x1000000000004,MyCellular,battery 10%,-83.31511,51.780037,8,51,101,0
16,0x100000000001e,NewComm,device error,-83.29151,51.93329,3,54,107,0
17,0x1000000000012,NewComm,battery 10%,-83.1536,51.704617,5,53,101,0
18,0x100000000001e,NewComm,battery 5%,-83.61711,52.26972,10,53,101,0
19,0x1000000000004,MyCellular,device error,-82.990944,52.160133,5,55,106,0
20,0x100000000000f,NewComm,battery 5%,-83.3662,51.66323,2,54,103,0
21,0x1000000000027,NewComm,battery 5%,-83.14109,51.865673,1,54,102,0
22,0x1000000000009,NewComm,battery 10%,-83.43421,52.11426,3,53,103,0
23,0x100000000000c,NewComm,battery 10%,-83.39679,51.686024,1,51,105,0
24,0x1000000000026,TelecomWorld,device error,-83.15052,51.605473,6,55,103,0
25,0x1000000000024,NewComm,device error,-83.53196,52.21754,1,54,105,0
26,0x1000000000000,NewComm,device error,-83.41746,51.696762,4,51,102,0
27,0x100000000000a,MyCellular,device error,-83.472496,51.849167,7,50,101,0
28,0x1000000000018,NewComm,battery 10%,-83.45843,51.788895,5,55,103,1
29,0x1000000000000,NewComm,battery 5%,-82.81074,52.252113,9,52,103,0
30,0x1000000000008,TelecomWorld,battery 10%,-83.44602,51.60561,2,53,106,0
31,0x100000000001c,MyCellular,system malfunction,-83.56814,52.112675,1,51,106,0
32,0x1000000000019,MyCellular,system malfunction,-82.881905,51.753468,1,51,107,0
33,0x1000000000018,NewComm,device error,-83.606995,51.99094,7,51,107,0
34,0x100000000000c,NewComm,battery 10%,-83.62858,51.824196,4,54,103,0
35,0x1000000000002,TelecomWorld,system malfunction,-83.62555,51.827686,2,54,102,0
36,0x1000000000019,MyCellular,system malfunction,-83.39864,52.050823,1,52,106,0
37,0x100000000001d,TelecomWorld,battery 10%,-83.47665,51.670994,3,53,105,0
38,0x1000000000006,NewComm,battery 5%,-83.6093,52.142776,7,52,104,1
39,0x100000000001f,MyCellular,battery 10%,-83.232445,52.354298,7,51,102,0
40,0x1000000000019,MyCellular,battery 10%,-83.35282,51.77975,6,54,107,0
41,0x1000000000017,TelecomWorld,device error,-82.89744,51.92945,4,52,100,0
42,0x1000000000008,TelecomWorld,battery 5%,-83.332344,51.829544,4,54,105,0
43,0x1000000000019,MyCellular,battery 5%,-82.997444,51.782185,7,54,104,0
44,0x100000000000e,TelecomWorld,battery 5%,-83.30644,51.931232,1,50,106,0
45,0x1000000000023,TelecomWorld,battery 5%,-83.6178,51.641834,8,54,103,0
46,0x100000000000e,TelecomWorld,device error,-83.62292,51.94092,4,50,100,0
47,0x1000000000023,TelecomWorld,battery 10%,-83.573814,51.651127,10,54,107,0
48,0x1000000000008,TelecomWorld,device error,-83.43713,52.18573,1,52,102,0
49,0x1000000000001,MyCellular,device error,-83.277855,51.64428,4,53,105,0
50,0x1000000000012,NewComm,battery 5%,-83.17319,52.0461,9,52,101,0
51,0x100000000000b,TelecomWorld,system malfunction,-83.51771,51.82552,5,52,101,0
52,0x100000000000f,NewComm,device error,-83.46179,51.70434,2,51,105,0
53,0x1000000000023,TelecomWorld,device error,-83.509674,51.852375,1,50,101,0
54,0x1000000000004,MyCellular,device error,-83.5998,51.619473,9,54,104,0
55,0x1000000000022,MyCellular,battery 5%,-83.565544,51.903526,8,52,107,0
56,0x100000000000b,TelecomWorld,system malfunction,-82.79577,51.604702,2,55,104,0
57,0x1000000000016,MyCellular,battery 5%,-83.50923,52.21051,10,51,106,0
58,0x1000000000007,MyCellular,device error,-83.15083,51.708195,7,51,105,0
59,0x1000000000001,MyCellular,system malfunction,-83.58037,51.79812,6,51,104,0
60,0x1000000000016,MyCellular,device error,-83.468704,51.677464,5,53,102,0
61,0x1000000000014,TelecomWorld,battery 10%,-83.07007,52.065445,3,51,104,0
62,0x1000000000024,NewComm,battery 5%,-83.118576,51.9119,3,53,106,0
63,0x100000000000a,MyCellular,device error,-83.471535,51.786297,5,50,105,0
64,0x100000000001e,NewComm,battery 10%,-83.48445,51.834774,3,52,105,0
65,0x1000000000001,MyCellular,battery 5%,-83.5077,52.048767,10,52,102,0
66,0x1000000000009,NewComm,battery 5%,-82.925804,51.637077,10,55,100,0
67,0x1000000000008,TelecomWorld,device error,-83.4061,51.639534,4,52,105,0
68,0x1000000000005,TelecomWorld,system malfunction,-83.595695,51.854656,4,50,105,1
69,0x1000000000021,NewComm,device error,-83.589554,52.112312,7,54,102,0
70,0x100000000000f,NewComm,device error,-83.62257,51.706955,7,52,101,0
71,0x1000000000003,NewComm,device error,-83.07149,51.6428,9,52,105,1
72,0x1000000000006,NewComm,battery 5%,-83.61287,51.702145,3,55,107,0
73,0x1000000000008,TelecomWorld,system malfunction,-82.81369,51.663338,4,55,101,0
74,0x1000000000023,TelecomWorld,battery 5%,-82.85724,52.17238,8,53,102,0
75,0x1000000000019,MyCellular,system malfunction,-83.60612,52.530647,2,50,102,0
76,0x1000000000011,TelecomWorld,battery 5%,-83.47127,51.730045,3,50,107,0
77,0x100000000000b,TelecomWorld,device error,-82.98336,51.70801,3,53,107,0
78,0x100000000001b,NewComm,device error,-83.381065,51.735676,2,51,103,0
79,0x1000000000012,NewComm,device error,-83.434906,51.59631,6,51,107,0
80,0x1000000000005,TelecomWorld,device error,-83.0492,51.848965,10,55,101,0
81,0x1000000000004,MyCellular,battery 5%,-83.106384,51.711575,5,52,105,0
82,0x1000000000006,NewComm,system malfunction,-83.57268,51.93049,2,50,105,1
83,0x100000000001e,NewComm,system malfunction,-83.31196,51.713753,3,51,104,0
84,0x100000000001a,TelecomWorld,battery 10%,-83.56836,52.13359,1,51,100,0
85,0x1000000000003,NewComm,battery 5%,-83.13766,52.22592,4,50,106,0
86,0x1000000000013,MyCellular,system malfunction,-83.61058,51.64799,8,52,107,0
87,0x1000000000006,NewComm,battery 10%,-83.49135,51.818005,8,53,105,0
88,0x1000000000018,NewComm,system malfunction,-83.5773,51.60831,8,51,105,0
89,0x1000000000026,TelecomWorld,battery 5%,-83.222664,51.60408,8,54,103,0
90,0x1000000000009,NewComm,battery 5%,-83.41108,51.603275,2,51,104,0
91,0x1000000000020,TelecomWorld,device error,-83.56934,51.882393,8,53,104,0
92,0x1000000000014,TelecomWorld,battery 5%,-83.33247,52.298714,2,52,105,1
93,0x1000000000018,NewComm,device error,-83.15143,52.326645,2,52,105,0
94,0x1000000000012,NewComm,system malfunction,-83.03356,52.385143,8,55,106,0
95,0x1000000000001,MyCellular,device error,-83.10997,52.00739,6,53,102,0
96,0x100000000001f,MyCellular,system malfunction,-83.51345,52.29828,3,53,101,0
97,0x1000000000007,MyCellular,system malfunction,-83.55027,52.36567,3,53,101,0
98,0x100000000001f,MyCellular,battery 5%,-83.36022,52.24644,1,52,102,0
99,0x1000000000011,TelecomWorld,system malfunction,-83.487335,51.865288,8,52,106,1
100,0x100000000000a,MyCellular,battery 5%,-83.571976,51.696354,8,51,102,0
101,0x100000000001d,TelecomWorld,system malfunction,-83.61272,51.95996,6,55,104,0
102,0x1000000000011,TelecomWorld,system malfunction,-83.60729,52.04385,4,52,101,0
103,0x1000000000013,MyCellular,battery 10%,-83.15568,51.596577,2,52,101,0
104,0x1000000000022,MyCellular,battery 5%,-82.99993,52.111343,8,55,100,1
105,0x100000000000b,TelecomWorld,device error,-83.25381,51.82999,4,51,103,0
106,0x1000000000003,NewComm,device error,-83.10124,52.07185,5,55,105,0
107,0x1000000000008,TelecomWorld,device error,-83.387085,51.631996,9,53,106,0
108,0x100000000000d,MyCellular,battery 10%,-83.10233,51.619083,10,54,102,0
109,0x1000000000013,MyCellular,battery 5%,-83.51688,51.60287,4,54,105,0
110,0x1000000000015,NewComm,battery 5%,-83.07821,51.615906,8,55,105,0
111,0x1000000000003,NewComm,battery 5%,-83.37351,52.10053,9,52,105,0
112,0x1000000000007,MyCellular,battery 5%,-83.438805,51.858288,8,54,101,0
113,0x1000000000007,MyCellular,device error,-82.977455,51.98916,6,54,101,0
114,0x100000000001b,NewComm,device error,-83.59797,51.814404,7,53,103,0
115,0x100000000001e,NewComm,battery 5%,-83.61549,52.28753,2,50,100,1
116,0x1000000000023,TelecomWorld,device error,-83.62236,51.78072,2,51,104,0
117,0x100000000000c,NewComm,device error,-83.6051,52.50858,3,53,106,0
118,0x1000000000016,MyCellular,device error,-83.60915,51.60843,4,52,101,0
119,0x100000000001d,TelecomWorld,device error,-83.469955,51.868595,8,54,107,0
120,0x1000000000025,MyCellular,system malfunction,-83.622826,51.600666,10,50,101,0
121,0x100000000000d,MyCellular,device error,-82.95329,51.713913,10,54,106,0
122,0x1000000000001,MyCellular,battery 10%,-83.57225,52.442745,10,53,101,0
123,0x100000000000f,NewComm,device error,-83.26422,51.622704,5,50,104,1
124,0x1000000000027,NewComm,battery 5%,-82.803,51.92414,8,51,104,1
125,0x100000000001e,NewComm,battery 10%,-83.3483,52.320835,8,50,105,0
126,0x100000000000f,NewComm,battery 5%,-83.42129,51.93161,10,50,103,0
127,0x100000000000f,NewComm,device error,-83.525,51.837936,5,52,106,0
128,0x1000000000002,TelecomWorld,system malfunction,-83.21915,52.13032,4,51,106,0
129,0x1000000000001,MyCellular,system malfunction,-83.414246,51.720825,2,50,104,0
130,0x100000000000a,MyCellular,system malfunction,-83.13803,51.650135,2,53,104,0
131,0x100000000000b,TelecomWorld,battery 10%,-83.582855,52.451115,2,54,102,0
132,0x100000000000e,TelecomWorld,system malfunction,-83.07024,52.039986,4,51,106,0
133,0x1000000000007,MyCellular,battery 5%,-83.08641,52.15719,6,52,104,0
134,0x100000000000f,NewComm,battery 5%,-83.5918,51.707226,7,52,104,0
135,0x1000000000027,NewComm,system malfunction,-83.25798,51.902065,9,53,105,0
136,0x1000000000016,MyCellular,device error,-83.43628,52.349426,9,53,101,0
137,0x1000000000026,TelecomWorld,device error,-83.46666,51.61502,10,54,106,0
138,0x1000000000019,MyCellular,system malfunction,-83.5876,51.804028,9,51,103,1
139,0x1000000000015,NewComm,battery 5%,-83.4474,51.793365,3,52,102,0
140,0x100000000001e,NewComm,system malfunction,-83.41086,51.82902,7,52,107,0
141,0x1000000000021,NewComm,device error,-83.560745,51.99142,10,51,101,0
142,0x1000000000009,NewComm,device error,-83.62418,51.812363,7,51,103,0
143,0x1000000000003,NewComm,system malfunction,-83.59884,51.59764,9,53,102,0
144,0x1000000000017,TelecomWorld,battery 5%,-83.253235,51.906105,2,52,103,0
145,0x1000000000023,TelecomWorld,battery 5%,-82.69298,51.60593,4,54,107,0
146,0x100000000000f,NewComm,device error,-83.25701,52.045113,2,52,104,0
147,0x100000000001b,NewComm,battery 5%,-83.29908,51.59502,9,53,101,0
148,0x1000000000023,TelecomWorld,system malfunction,-83.61545,51.749207,2,55,100,1
149,0x1000000000012,NewComm,battery 5%,-83.52744,52.261658,6,52,103,0
150,0x100000000000e,TelecomWorld,device error,-83.483215,51.896416,7,51,106,0
151,0x1000000000008,TelecomWorld,battery 5%,-83.61145,51.939636,8,54,100,1
152,0x1000000000020,TelecomWorld,battery 5%,-83.378555,51.928326,3,51,104,0
153,0x100000000001e,NewComm,device error,-83.62377,51.92114,6,52,106,0
154,0x1000000000009,NewComm,battery 5%,-83.11928,51.70987,1,54,103,0
155,0x1000000000007,MyCellular,battery 5%,-83.57309,51.618446,1,55,102,0
156,0x1000000000018,NewComm,device error,-83.29279,51.91101,3,50,104,1
157,0x1000000000026,TelecomWorld,battery 5%,-82.910065,51.66605,2,53,107,0
158,0x100000000000a,MyCellular,device error,-83.6119,51.66281,7,53,104,0
159,0x1000000000009,NewComm,battery 10%,-83.58159,51.611156,5,51,103,0
160,0x100000000001a,TelecomWorld,device error,-83.55285,51.610256,1,53,101,0
